,GEO.id,zip_code,GEO.display-label,poulation,percent_employed,inc_<10k,inc_10-15k,inc_15-25k,median_inc,mean_inc,percent_no_health,percent_public_health
201,8600000US60467,60467,ZCTA5 60467,21507,62.4,2,1.8,6.5,88947,103601,5.7,22.6
202,8600000US60468,60468,ZCTA5 60468,4803,75.8,2.2,1,7.8,75000,80800,5.4,19.2
203,8600000US60469,60469,ZCTA5 60469,4218,66.2,6,6.4,9.2,48072,51794,23.5,36.1
204,8600000US60470,60470,ZCTA5 60470,506,67.8,2.4,1.9,9.2,58333,65421,13.8,26.4
205,8600000US60471,60471,ZCTA5 60471,11347,69.5,5.4,4.1,10.1,52284,66280,13.4,30
206,8600000US60472,60472,ZCTA5 60472,4246,48.2,16.9,13,23.7,21542,36793,17.9,52.4
207,8600000US60473,60473,ZCTA5 60473,17908,62,3.5,3.5,10,64362,75370,13.8,31.5
208,8600000US60474,60474,ZCTA5 60474,570,59.5,7,0.3,10.8,55417,63584,18.1,26
209,8600000US60475,60475,ZCTA5 60475,7376,67.4,8.7,5.6,12,43138,52632,14.3,35.9
210,8600000US60476,60476,ZCTA5 60476,2201,68.1,7.9,2.9,12.6,50036,58626,12.1,32.1
211,8600000US60477,60477,ZCTA5 60477,30855,70.6,4,3,7.3,69734,78802,8.2,25.8
212,8600000US60478,60478,ZCTA5 60478,13054,67.7,7.5,2.5,8.7,60157,70677,13.6,33.5
213,8600000US60479,60479,ZCTA5 60479,514,63,6.6,1.9,4.7,72232,82715,5.3,21.7
214,8600000US60480,60480,ZCTA5 60480,4137,72.1,4.6,2.6,7.9,75203,89399,6.5,21.1
215,8600000US60481,60481,ZCTA5 60481,9542,63.9,4,4.2,9.6,62487,70606,6.8,32.4
216,8600000US60482,60482,ZCTA5 60482,9061,71.4,5.6,3.9,12.9,55269,61081,18.8,27.4
217,8600000US60484,60484,ZCTA5 60484,5078,62.1,11,6.5,9.3,48571,55555,14.1,33.6
218,8600000US60487,60487,ZCTA5 60487,20801,72.7,1.6,1,5.3,92588,105256,4.9,15.5
219,8600000US60490,60490,ZCTA5 60490,14580,75.3,1.9,0,2.9,108477,121241,8.7,12.7
220,8600000US60491,60491,ZCTA5 60491,17632,68.3,1.9,1.6,4.1,93986,104862,3.6,20.8
221,8600000US60501,60501,ZCTA5 60501,8770,65.9,5,3.1,12.6,48438,55642,27.6,33.7
222,8600000US60502,60502,ZCTA5 60502,17033,78.3,1.6,0.5,1.7,105319,137863,4.7,11.3
223,8600000US60503,60503,ZCTA5 60503,11278,78.5,1,0,1.6,106823,114447,8,10
224,8600000US60504,60504,ZCTA5 60504,27945,80,2.5,1.5,6.5,71624,85803,12.1,19
225,8600000US60505,60505,ZCTA5 60505,50477,70.5,6.2,4.8,11.4,43868,52061,29.7,38.1
226,8600000US60506,60506,ZCTA5 60506,43060,69.1,5.6,4,13,54401,69175,16.5,31.4
