,GEO.id,zip_code,GEO.display-label,total_population,percent_age_under_5,percent_age_5-9,percent_age_10-14,percent_age_15-19,percent_age_20-24,percent_age_25-34,percent_age_35-44,percent_age_45-54,percent_age_55-59,percent_age_60-64,percent_age_65-74,percent_age_75-84,percent_age85_and_over,percent_age_65_and_over,median_age
86,8600000US60131,60131,ZCTA5 60131,18068,4.8,6.2,7.4,6.4,7,13.9,14.5,15.7,7.2,5.2,7.1,3.1,1.4,11.5,38.1
87,8600000US60133,60133,ZCTA5 60133,38369,7.6,8.3,8.7,8.4,6,14.8,16.2,13.8,5.4,4.7,4.2,1.5,0.4,6.2,32.8
88,8600000US60134,60134,ZCTA5 60134,29339,5.9,8,10.1,7.4,4.3,7.6,14.5,18.6,6.2,6.4,6.2,3.8,0.9,10.9,40.7
89,8600000US60135,60135,ZCTA5 60135,7174,5.1,8.6,10.3,5.7,8.2,12.7,12.7,13,6.7,6.4,5.5,3.7,1.5,10.6,34.7
90,8600000US60136,60136,ZCTA5 60136,7093,11.8,10.8,6.4,7.2,3.3,17.5,18.5,13.4,3.3,2.9,3.7,0.2,1,4.9,32.5
91,8600000US60137,60137,ZCTA5 60137,38384,6.4,7.2,7.8,7.1,4.3,8.5,14.5,16.8,8.2,5.5,6.5,5,2.1,13.6,41.1
92,8600000US60139,60139,ZCTA5 60139,34867,8.5,6.9,6.9,7.2,7.5,16.2,14.2,14.4,5.8,4.7,5.7,1.5,0.6,7.8,32.9
93,8600000US60140,60140,ZCTA5 60140,14050,8.2,7.3,10,6,5.8,13.5,13.5,16.1,5.7,4.2,6.3,2.9,0.6,9.7,34.8
94,8600000US60141,60141,ZCTA5 60141,190,8.9,0,0,0,0,0,16.3,12.1,8.4,2.6,8.9,24.2,18.4,51.6,67
95,8600000US60142,60142,ZCTA5 60142,26708,5.5,7.8,7.3,4.5,2.8,7.4,15,10.7,4.2,6.7,19,7.4,1.5,28,44.6
96,8600000US60143,60143,ZCTA5 60143,10128,5.3,6.9,5.9,5.5,4.5,12.5,15.4,14.3,7,9,8,4,1.6,13.6,41
97,8600000US60144,60144,ZCTA5 60144,64,6.3,0,17.2,12.5,7.8,7.8,17.2,28.1,0,0,3.1,0,0,3.1,28.5
98,8600000US60145,60145,ZCTA5 60145,2408,4.5,4.8,9.6,7.9,7.7,11,11.9,19,9.8,5.4,5.1,2.7,0.6,8.4,38.5
99,8600000US60146,60146,ZCTA5 60146,2585,4.4,6.1,7.7,10.2,5.6,8.7,15.2,16.3,6.5,7.7,5.8,4.2,1.7,11.7,39.8
100,8600000US60148,60148,ZCTA5 60148,52390,4.3,4.7,6.6,7,7,13.6,13.4,16.5,6.3,6,6.6,4.9,3.1,14.5,40.6
101,8600000US60150,60150,ZCTA5 60150,1589,6.7,10,6.5,6.2,6.9,12.5,10.2,17.4,5.8,4.7,7.7,4.5,0.9,13,36.5
102,8600000US60151,60151,ZCTA5 60151,4235,5.7,6.7,6.7,6,7.4,8.6,13.6,18.1,7.1,8.6,7.6,2.6,1.2,11.4,41.7
103,8600000US60152,60152,ZCTA5 60152,12899,6.8,7,8.6,5.7,4.9,10.5,14.2,14.8,7.3,7.2,8.2,3.1,1.7,13.1,40.1
104,8600000US60153,60153,ZCTA5 60153,24152,5.2,6.8,6.5,6.6,7.9,14.5,12.1,14.2,6.5,5.7,7.1,5.2,1.7,14,36.9
